Status;Name/Label;Value;Units/States;Description;Location;Type;Category;Expiration Time;Reference
;CDN_4001VLMB;6,417.9;;Volume Libre;Bell>CDN>N2-1>CDN_INT-85>CDN_4001VLMB;N2 AI;CDN;;DCOCBH-D05:CDN/N2-1.CDN_INT-85.CDN_4001VLMB
;BRT_4001VL;6,449.6;L;Volume;Bell>BRT>N2-1>BRT_MIG-06>BRT_4001VL;N2 AI;HVAC;;DCOCBH-D05:BRT/N2-1.BRT_MIG-06.BRT_4001VL
;BRT_4001ULLAGE;3,161.7;L;Ullage;Bell>BRT>N2-1>BRT_MIG-06>BRT_4001ULLAGE;N2 AI;HVAC;;DCOCBH-D05:BRT/N2-1.BRT_MIG-06.BRT_4001ULLAGE
;DCA_4001VLMB;4,602.6;L;Volume Libre;Bell>DCA>N2-1>DCA_INT-35>DCA_4001VLMB;N2 AI;HVAC;;DCOCBH-D05:DCA/N2-1.DCA_INT-35.DCA_4001VLMB
;DCA_4001VLM;15,397.4;L;Volume;Bell>DCA>N2-1>DCA_INT-35>DCA_4001VLM;N2 AI;HVAC;;DCOCBH-D05:DCA/N2-1.DCA_INT-35.DCA_4001VLM
;DUD_4001VLM;13,402.7;L;Volume;Bell>DUD>N2-1>DUD_INT-15>DUD_4001VLM;N2 AI;HVAC;;DCOCBH-D05:DUD/N2-1.DUD_INT-15.DUD_4001VLM
;DUD_4001VLMB;1,597.3;L;Volume Libre;Bell>DUD>N2-1>DUD_INT-15>DUD_4001VLMB;N2 AI;HVAC;;DCOCBH-D05:DUD/N2-1.DUD_INT-15.DUD_4001VLMB
;DUN_4001VL;8,009.1;L;Volume;Bell>DUN>N2-1>DUN_MIG-09>DUN_4001VL;N2 AI;HVAC;;DCOCBH-D05:DUN/N2-1.DUN_MIG-09.DUN_4001VL
;DUN_4001ULLAGE;1,990.9;L;Ullage;Bell>DUN>N2-1>DUN_MIG-09>DUN_4001ULLAGE;N2 AI;HVAC;;DCOCBH-D05:DUN/N2-1.DUN_MIG-09.DUN_4001ULLAGE
;EGT_4001VL;4,632.3;L;Volume;Bell>EGT-2>N2-1>EGT-2_MIG-20>EGT_4001VL;N2 AI;EGT;;DCOCBH-D05:EGT-2/N2-1.EGT-2_MIG-20.EGT_4001VL
;EGT_4001ULLAGE;440.2;L;Ullage;Bell>EGT-2>N2-1>EGT-2_MIG-20>EGT_4001ULLAGE;N2 AI;EGT;;DCOCBH-D05:EGT-2/N2-1.EGT-2_MIG-20.EGT_4001ULLAGE
;EGT_4002VL;1,230.1;L;Volume;Bell>EGT-1>N2-1>EGT-1_MIG-80>EGT_4002VL;N2 AI;EGT;;DCOCBH-D05:EGT-1/N2-1.EGT-1_MIG-80.EGT_4002VL
;EGT_4002ULLAGE;661.9;L;Ullage;Bell>EGT-1>N2-1>EGT-1_MIG-80>EGT_4002ULLAGE;N2 AI;EGT;;DCOCBH-D05:EGT-1/N2-1.EGT-1_MIG-80.EGT_4002ULLAGE
;ERN_4001VL;12,100.6;L;Volume;Bell>ERN>N2-1>ERN_MIG-30>ERN_4001VL;N2 AI;HVAC;;DCOCBH-D05:ERN/N2-1.ERN_MIG-30.ERN_4001VL
